DATE,DEXUSEU
27/08/2014,1.3192
28/08/2014,1.3178
29/08/2014,1.315
1/9/2014,1.315
2/9/2014,1.3124
3/9/2014,1.3136
4/9/2014,1.2926
5/9/2014,1.2956
8/9/2014,1.2948
9/9/2014,1.2909
10/9/2014,1.2908
11/9/2014,1.2936
12/9/2014,1.2955
15/09/2014,1.2951
16/09/2014,1.2976
17/09/2014,1.2958
18/09/2014,1.2913
19/09/2014,1.2835
22/09/2014,1.2829
23/09/2014,1.2858
24/09/2014,1.2788
25/09/2014,1.2748
26/09/2014,1.2686
29/09/2014,1.2703
30/09/2014,1.2628
1/10/2014,1.2618
2/10/2014,1.267
3/10/2014,1.2517
6/10/2014,1.2592
7/10/2014,1.2626
8/10/2014,1.2683
9/10/2014,1.2683
10/10/2014,1.2636
13/10/2014,1.2636
14/10/2014,1.266
15/10/2014,1.2778
16/10/2014,1.2812
17/10/2014,1.2755
20/10/2014,1.2783
21/10/2014,1.2724
22/10/2014,1.2658
23/10/2014,1.2658
24/10/2014,1.2675
27/10/2014,1.2712
28/10/2014,1.2747
29/10/2014,1.2762
30/10/2014,1.2622
31/10/2014,1.253
3/11/2014,1.2487
4/11/2014,1.2554
5/11/2014,1.2488
6/11/2014,1.2414
7/11/2014,1.2422
10/11/2014,1.2425
11/11/2014,1.2425
12/11/2014,1.2456
13/11/2014,1.2476
14/11/2014,1.2494
17/11/2014,1.2447
18/11/2014,1.2534
19/11/2014,1.2548
20/11/2014,1.2526
21/11/2014,1.2394
24/11/2014,1.2427
25/11/2014,1.2472
26/11/2014,1.2503
27/11/2014,1.2503
28/11/2014,1.2438
1/12/2014,1.249
2/12/2014,1.239
3/12/2014,1.2304
4/12/2014,1.2432
5/12/2014,1.2304
8/12/2014,1.2292
9/12/2014,1.2415
10/12/2014,1.2425
11/12/2014,1.2397
12/12/2014,1.2484
15/12/2014,1.247
16/12/2014,1.2504
17/12/2014,1.2406
18/12/2014,1.2291
19/12/2014,1.2235
22/12/2014,1.2252
23/12/2014,1.218
24/12/2014,1.2188
25/12/2014,1.2188
26/12/2014,.
29/12/2014,1.2179
30/12/2014,1.2174
31/12/2014,1.2101
1/1/2015,1.2101
2/1/2015,1.2015
5/1/2015,1.1918
6/1/2015,1.1936
7/1/2015,1.182
8/1/2015,1.1811
9/1/2015,1.183
12/1/2015,1.1832
13/01/2015,1.1779
14/01/2015,1.1806
15/01/2015,1.1598
16/01/2015,1.1517
19/01/2015,1.1517
20/01/2015,1.1559
21/01/2015,1.1584
22/01/2015,1.1414
23/01/2015,1.1279
26/01/2015,1.129
27/01/2015,1.137
28/01/2015,1.1342
29/01/2015,1.1308
30/01/2015,1.129
2/2/2015,1.1337
3/2/2015,1.1462
4/2/2015,1.1418
5/2/2015,1.1432
6/2/2015,1.133
9/2/2015,1.1316
10/2/2015,1.1316
11/2/2015,1.13
12/2/2015,1.141
13/02/2015,1.1408
16/02/2015,1.1408
17/02/2015,1.1395
18/02/2015,1.1342
19/02/2015,1.1392
20/02/2015,1.1372
23/02/2015,1.1346
24/02/2015,1.1307
25/02/2015,1.1363
26/02/2015,1.1212
27/02/2015,1.1197
2/3/2015,1.119
3/3/2015,1.1212
4/3/2015,1.107
5/3/2015,1.1006
6/3/2015,1.0855
9/3/2015,1.0846
10/3/2015,1.0707
11/3/2015,1.0576
12/3/2015,1.0615
13/03/2015,1.0524
16/03/2015,1.0575
17/03/2015,1.0605
18/03/2015,1.0643
19/03/2015,1.0621
20/03/2015,1.0792
23/03/2015,1.0928
24/03/2015,1.0908
25/03/2015,1.0986
26/03/2015,1.0919
27/03/2015,1.0891
30/03/2015,1.0818
31/03/2015,1.0741
1/4/2015,1.0768
2/4/2015,1.0874
3/4/2015,1.099
6/4/2015,1.1008
7/4/2015,1.085
8/4/2015,1.0818
9/4/2015,1.0671
10/4/2015,1.0598
13/04/2015,1.0582
14/04/2015,1.0672
15/04/2015,1.0596
16/04/2015,1.0742
17/04/2015,1.078
20/04/2015,1.0763
21/04/2015,1.0758
22/04/2015,1.0729
23/04/2015,1.0803
24/04/2015,1.0876
27/04/2015,1.0892
28/04/2015,1.0979
29/04/2015,1.1174
30/04/2015,1.1162
1/5/2015,1.1194
4/5/2015,1.1145
5/5/2015,1.1174
6/5/2015,1.1345
7/5/2015,1.1283
