"age","ast","astp","blk","blkp","college","draft","draftrank","draftround","drb","drbp","drtg","dws","efgp","fgattempt","fgmade","fgp","ftattempt","ftmade","ftp","gamesplayed","gamesstarted","height","league","minutes","name","nbadebut","orb","orbp","org_team","ortg","ows","p3attempt","p3made","p3p","per","pf","position","position_org","pts","salary","season","source","stl","stlp","tm","tov","tovp","trb","trbp","tsp","usgp","weight","ws","ws48","key"
22,13,4.5,4,0.600000023841858,"arizona",2006,54,"2",42,9.89999961853027,107,0.5,0.555999994277954,135,75,0.555999994277954,36,24,0.666999995708466,61,8,"6-4","NBA",495,"Adams Hassan",2006,35,8.39999961853027,"NJN",109,0.5,1,0,0,13,47,"guard","Guard",174,412718,2006,"http://www.basketball-reference.com/players/a/adamsha01.html",17,1.79999995231628,"NJN",22,12.6999998092651,77,9.19999980926514,0.577000021934509,16.2999992370605,220,1,0.0949999988079071,"guard_2006"
24,1,2.79999995231628,1,1.5,"arizona",2006,54,"2",6,13.3999996185303,111,0,0.30799999833107,13,4,0.30799999833107,6,3,0.5,12,0,"6-4","NBA",52,"Adams Hassan",2006,1,2.29999995231628,"TOR",63,-0.200000002980232,0,0,NA,0.400000005960464,4,"guard","Guard",11,297163,2008,"http://www.basketball-reference.com/players/a/adamsha01.html",1,1,"TOR",4,20.3999996185303,7,7.90000009536743,0.351999998092651,17.3999996185303,220,-0.200000002980232,-0.143999993801117,"guard_2008"
24,10,7.30000019073486,5,1.89999997615814,"uconn",NA,NA,"-",35,20.7000007629395,110,0.100000001490116,0.425999999046326,54,23,0.425999999046326,19,11,0.578999996185303,23,0,"6-7","NBA",196,"Adrien Jeff",2010,23,13,"GSW",102,0.100000001490116,0,0,NA,11.3000001907349,28,"forward","Forward",57,342666,2010,"http://www.basketball-reference.com/players/a/adrieje01.html",4,1,"GSW",9,12.6000003814697,58,16.7999992370605,0.456999987363815,16.1000003814697,243,0.200000002980232,0.0509999990463257,"forward_2010"
22,52,8.10000038146973,8,0.699999988079071,"ucla",2007,27,"1",101,12.5,104,1.39999997615814,0.432000011205673,241,99,0.41100001335144,87,68,0.782000005245209,75,9,"6-5","NBA",970,"Afflalo Arron",2007,36,4.40000009536743,"DET",104,0.5,48,10,0.208000004291534,10.1999998092651,83,"guard","Guard",276,944520,2007,"http://www.basketball-reference.com/players/a/afflaar01.html",31,1.79999995231628,"DET",34,10.8999996185303,137,8.39999961853027,0.493999987840652,15.1999998092651,215,1.89999997615814,0.0920000001788139,"guard_2007"
23,44,5.5,13,0.800000011920929,"ucla",2007,27,"1",104,10.1000003814697,110,1,0.508000016212463,300,131,0.437000006437302,71,58,0.816999971866608,74,8,"6-5","NBA",1234,"Afflalo Arron",2007,30,2.79999995231628,"DET",107,0.800000011920929,107,43,0.40200001001358,8.89999961853027,144,"guard","Guard",363,1015440,2008,"http://www.basketball-reference.com/players/a/afflaar01.html",28,1.29999995231628,"DET",43,11.5,134,6.40000009536743,0.547999978065491,14.5,215,1.79999995231628,0.0689999982714653,"guard_2008"
24,138,9.30000019073486,30,1,"ucla",2007,27,"1",193,9.89999961853027,111,1.39999997615814,0.556999981403351,585,272,0.465000003576279,98,72,0.735000014305115,82,75,"6-5","NBA",2221,"Afflalo Arron",2007,59,3.09999990463257,"DEN",114,2.79999995231628,249,108,0.433999985456467,10.8999996185303,225,"guard","Guard",724,1086240,2009,"http://www.basketball-reference.com/players/a/afflaar01.html",46,1,"DEN",74,10.5,252,6.5,0.575999975204468,14,215,4.30000019073486,0.0920000001788139,"guard_2009"
25,168,10.8999996185303,31,1,"ucla",2007,27,"1",206,9.89999961853027,111,1.39999997615814,0.580999970436096,627,312,0.497999995946884,163,138,0.847000002861023,69,69,"6-5","NBA",2324,"Afflalo Arron",2007,45,2.29999995231628,"DEN",123,4.80000019073486,248,105,0.423000007867813,13.6000003814697,153,"guard","Guard",867,1959577,2010,"http://www.basketball-reference.com/players/a/afflaar01.html",34,0.699999988079071,"DEN",71,9.19999980926514,251,6.19999980926514,0.620000004768372,14.8000001907349,215,6.19999980926514,0.128000006079674,"guard_2010"
22,7,5,3,1.10000002384186,"michiganst",2006,28,"1",20,11,106,0.200000002980232,0.349999994039536,70,22,0.314000010490417,33,20,0.606000006198883,32,1,"6-5","NBA",214,"Ager Maurice",2006,1,0.600000023841858,"DAL",79,-0.5,15,5,0.333000004291534,2.90000009536743,27,"guard","Guard",69,906480,2006,"http://www.basketball-reference.com/players/a/agerma01.html",4,1,"DAL",15,15.1000003814697,21,5.90000009536743,0.407999992370605,21.7000007629395,202,-0.300000011920929,-0.0599999986588955,"guard_2006"
23,4,7.40000009536743,1,1,"michiganst",2006,28,"1",3,4.40000009536743,112,0,0.185000002384186,27,5,0.185000002384186,6,5,0.833000004291534,12,3,"6-5","NBA",77,"Ager Maurice",2006,1,1.60000002384186,"DAL",61,-0.300000011920929,8,0,0,-4.40000009536743,11,"guard","Guard",15,974400,2007,"http://www.basketball-reference.com/players/a/agerma01.html",0,0,"DAL",3,9.19999980926514,4,3,0.252999991178513,19.7999992370605,202,-0.300000011920929,-0.180999994277954,"guard_2007"
23,4,8.39999961853027,0,0,"michiganst",2006,28,"1",6,7.90000009536743,116,0,0.460999995470047,38,16,0.421000003814697,6,1,0.166999995708466,14,0,"6-5","NBA",88,"Ager Maurice",2006,3,3.90000009536743,"NJN",89,-0.100000001490116,11,3,0.273000001907349,7.09999990463257,6,"guard","Guard",36,974400,2007,"http://www.basketball-reference.com/players/a/agerma01.html",0,0,"NJN",3,6.90000009536743,9,5.90000009536743,0.442999988794327,22.7000007629395,202,-0.100000001490116,-0.0560000017285347,"guard_2007"
24,3,5.30000019073486,2,1.70000004768372,"michiganst",2006,28,"1",7,8.69999980926514,115,0,0.349000006914139,43,15,0.349000006914139,8,4,0.5,20,0,"6-5","NBA",97,"Ager Maurice",2006,3,3.59999990463257,"NJN",77,-0.300000011920929,6,0,0,2.20000004768372,17,"guard","Guard",34,1042440,2008,"http://www.basketball-reference.com/players/a/agerma01.html",1,0.600000023841858,"NJN",4,7.90000009536743,10,6.09999990463257,0.365000009536743,24.3999996185303,202,-0.300000011920929,-0.133000001311302,"guard_2008"
26,1,6,0,0,"michiganst",2006,28,"1",2,7.90000009536743,114,0,0.681999981403351,11,6,0.545000016689301,0,0,NA,4,0,"6-5","NBA",29,"Ager Maurice",2006,0,0,"MIN",94,0,4,3,0.75,10.1000003814697,4,"guard","Guard",15,83305,2010,"http://www.basketball-reference.com/players/a/agerma01.html",1,1.70000004768372,"MIN",4,26.7000007629395,2,3.79999995231628,0.681999981403351,22,202,0,-0.0149999996647239,"guard_2010"
23,19,17.2000007629395,0,0,"swmost",NA,NA,"-",18,12.3999996185303,111,0.100000001490116,0.351000010967255,57,15,0.263000011444092,31,30,0.967999994754791,12,0,"6-2","NBA",177,"Ahearn Blake",2008,1,0.699999988079071,"MIA",94,-0.100000001490116,34,10,0.293999999761581,9,20,"guard","Guard",70,NA,2007,"http://www.basketball-reference.com/players/a/ahearbl01.html",6,1.79999995231628,"MIA",16,18.5,19,6.40000009536743,0.495000004768372,23.2000007629395,190,0,-0.00600000005215406,"guard_2007"
24,2,16,0,0,"swmost",NA,NA,"-",1,6.19999980926514,104,0,0.5,6,2,0.333000004291534,2,2,1,3,0,"6-2","NBA",19,"Ahearn Blake",2008,0,0,"SAS",113,0,4,2,0.5,12.8999996185303,3,"guard","Guard",8,125562,2008,"http://www.basketball-reference.com/players/a/ahearbl01.html",1,2.90000009536743,"SAS",1,12.6999998092651,1,3.09999990463257,0.580999970436096,20.1000003814697,190,0.100000001490116,0.149000003933907,"guard_2008"
20,3,2.79999995231628,6,2.70000004768372,"-",2008,20,"1",21,14.1999998092651,104,0.300000011920929,0.361999988555908,69,25,0.361999988555908,28,20,0.71399998664856,31,4,"7-0","NBA",182,"Ajinca Alexis",2008,9,6.19999980926514,"CHA",86,-0.300000011920929,2,0,0,7,34,"center","Center",70,1276320,2008,"http://www.basketball-reference.com/players/a/ajincal01.html",7,2.09999990463257,"CHA",12,12.8999996185303,30,10.1999998092651,0.430000007152557,24.2000007629395,220,-0.100000001490116,-0.0179999992251396,"center_2008"
21,0,0,1,2.70000004768372,"-",2008,20,"1",3,11.8000001907349,103,0,0.5,10,5,0.5,1,0,0,6,0,"7-0","NBA",30,"Ajinca Alexis",2008,1,4.09999990463257,"CHA",81,-0.100000001490116,0,0,NA,6.30000019073486,5,"center","Center",10,1372080,2009,"http://www.basketball-reference.com/players/a/ajincal01.html",1,1.79999995231628,"CHA",2,16.1000003814697,4,8,0.479000002145767,19.2999992370605,220,0,-0.0130000002682209,"center_2009"
22,2,4.30000019073486,5,5.09999990463257,"-",2008,20,"1",12,18,100,0.100000001490116,0.421999990940094,32,12,0.375,3,2,0.666999995708466,10,2,"7-0","NBA",75,"Ajinca Alexis",2008,5,8.10000038146973,"DAL",97,0,7,3,0.428999990224838,12.8000001907349,13,"center","Center",29,1467840,2010,"http://www.basketball-reference.com/players/a/ajincal01.html",3,2.09999990463257,"DAL",1,2.90000009536743,17,13.3000001907349,0.435000002384186,21.3999996185303,220,0.100000001490116,0.0839999988675117,"center_2010"
22,8,4.90000009536743,14,4,"-",2008,20,"1",49,22.5,108,0.200000002980232,0.509999990463257,101,47,0.465000003576279,15,11,0.732999980449677,24,0,"7-0","NBA",265,"Ajinca Alexis",2008,12,5.19999980926514,"TOR",99,0,27,9,0.333000004291534,12,60,"center","Center",114,1467840,2010,"http://www.basketball-reference.com/players/a/ajincal01.html",8,1.60000002384186,"TOR",17,13.6000003814697,61,13.6000003814697,0.529999971389771,21,220,0.200000002980232,0.0439999997615814,"center_2010"
